pathway,pval,padj,log2err,ES,NES,size,leadingEdge,direction,path_clean
HALLMARK_TNFA_SIGNALING_VIA_NFKB,1.7499069396965064e-18,8.57454400451288e-17,1.1053365773140096,0.5418829003063412,2.6928509554777422,181,,Δ(Sx+Tx) > Δ(Sx-NoTx),TNF-α Signaling Via Nfkb
HALLMARK_INTERFERON_GAMMA_RESPONSE,4.845019187403451e-7,1.1870297009138454e-5,0.6594443980379349,0.3810111813051462,1.9034476010214825,191,,Δ(Sx+Tx) > Δ(Sx-NoTx),Interferon Gamma Response
HALLMARK_IL6_JAK_STAT3_SIGNALING,2.0226267103855675e-5,3.0440376708584045e-4,0.5756102610711286,0.4696597846623334,2.045786787270515,73,,Δ(Sx+Tx) > Δ(Sx-NoTx),IL6 JAK STAT3 Signaling
HALLMARK_INTERFERON_ALPHA_RESPONSE,2.48492871090482e-5,3.0440376708584045e-4,0.5756102610711286,0.432679969989921,1.964905872724343,96,,Δ(Sx+Tx) > Δ(Sx-NoTx),Interferon Alpha Response
HALLMARK_KRAS_SIGNALING_DN,4.4568978727041025e-4,0.0043677599152500204,0.49849310876659025,0.3932697789726844,1.761138574588294,87,,Δ(Sx+Tx) > Δ(Sx-NoTx),Kras Signaling Dn
HALLMARK_HEME_METABOLISM,7.79685513627984e-4,0.006367431694628536,0.47727081536286214,0.3227113013537287,1.5958570216611676,177,,Δ(Sx+Tx) > Δ(Sx-NoTx),Heme Metabolism
HALLMARK_INFLAMMATORY_RESPONSE,0.0013188947818037536,0.009232263472626276,0.45505986738722953,0.31909579204614885,1.5565388833407166,155,,Δ(Sx+Tx) > Δ(Sx-NoTx),Inflammatory Response
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.0017999411801707275,0.011024639728545706,0.45505986738722953,0.33821778510869277,1.5813929606676527,114,,Δ(Sx+Tx) > Δ(Sx-NoTx),Epithelial Mesenchymal Transition
HALLMARK_KRAS_SIGNALING_UP,0.0022180700237292295,0.01207615901808136,0.4317076958033464,0.3207675470032756,1.5453384941933024,139,,Δ(Sx+Tx) > Δ(Sx-NoTx),Kras Signaling Up
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.0029303249332477757,0.013849873814283063,0.4317076958033464,0.39395211235863836,1.693450698616443,68,,Δ(Sx+Tx) > Δ(Sx-NoTx),Cholesterol Homeostasis
HALLMARK_COMPLEMENT,0.003109155346063545,0.013849873814283063,0.4317076958033464,0.3019065690978579,1.4881809736091363,167,,Δ(Sx+Tx) > Δ(Sx-NoTx),Complement
HALLMARK_ESTROGEN_RESPONSE_LATE,0.0048221591324433336,0.01969048312414361,0.40701791892395395,0.3148725463865767,1.5296001028694304,142,,Δ(Sx+Tx) > Δ(Sx-NoTx),Estrogen Response Late
HALLMARK_HYPOXIA,0.0055512200525481385,0.02092382942883529,0.40701791892395395,0.29720237401683036,1.4510566554999562,154,,Δ(Sx+Tx) > Δ(Sx-NoTx),Hypoxia
HALLMARK_APOPTOSIS,0.007527940923339549,0.026347793231688423,0.40701791892395395,0.2992767662782251,1.45072859041257,143,,Δ(Sx+Tx) > Δ(Sx-NoTx),Apoptosis
HALLMARK_COAGULATION,0.008903736729434177,0.02908553998281831,0.3807304007227924,0.35543971447416545,1.568665126642639,81,,Δ(Sx+Tx) > Δ(Sx-NoTx),Coagulation
HALLMARK_P53_PATHWAY,0.02891787038718724,0.08856097806076092,0.35248785758361917,0.26937502744183994,1.3321009434746371,177,,Δ(Sx+Tx) > Δ(Sx-NoTx),P53 Pathway
HALLMARK_ALLOGRAFT_REJECTION,0.04531370436690259,0.13061008905754276,0.3217759180753611,0.2555950665372328,1.25356027732194,171,,Δ(Sx+Tx) > Δ(Sx-NoTx),Allograft Rejection
HALLMARK_MYOGENESIS,0.08797653958944282,0.21851351351351353,0.2616635217115731,0.2631392794579554,1.249497783013578,124,,Δ(Sx+Tx) > Δ(Sx-NoTx),Myogenesis
