pathway,pval,padj,log2err,ES,NES,size,leadingEdge,direction,path_clean,signif
REACTOME_NEUTROPHIL_DEGRANULATION,7.004802586818258e-28,6.920744955776439e-25,1.3727429819339798,-0.4824076327015791,-2.4898056714780656,443,,Enriched in ΔHC,Reactome Neutrophil Degranulation,***
REACTOME_ANTIMICROBIAL_PEPTIDES,8.691211571847404e-6,0.00341097713901813,0.5933254763964051,-0.6436279462220224,-2.225175067689159,31,,Enriched in ΔHC,Reactome Antimicrobial Peptides,**
REACTOME_ROS_AND_RNS_PRODUCTION_IN_PHAGOCYTES,1.035721803345586e-5,0.00341097713901813,0.5933254763964051,-0.6537609009453825,-2.2075401791496847,28,,Enriched in ΔHC,Reactome Ros And Rns Production In Phagocytes,**
REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS,3.671622003527099e-5,0.008768485762177956,0.557332238758646,-0.40040757149126843,-1.8136144265895473,127,,Enriched in ΔHC,Reactome Class A 1 Rhodopsin Like Receptors,**
REACTOME_GPCR_LIGAND_BINDING,4.437492794624472e-5,0.008768485762177956,0.557332238758646,-0.3671930788374308,-1.7264863710206555,174,,Enriched in ΔHC,Reactome Gpcr Ligand Binding,**
REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS,1.7659896337620908e-4,0.029079962635949093,0.5188480777437918,-0.4641263807303145,-1.9061012802574782,70,,Enriched in ΔHC,Reactome Peptide Ligand Binding Receptors,*
REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING,3.303315853256469e-4,0.046623943757391303,0.49849310876659025,-0.42422868316510143,-1.7813214945665208,82,,Enriched in ΔHC,Reactome Interleukin 4 And Interleukin 13 Signaling,*
REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES,4.8403086251994743e-4,0.054733242473952094,0.49849310876659025,-0.6796663303661463,-1.9654690467682816,16,,Enriched in ΔHC,Reactome Activation Of Matrix Metalloproteinases,
REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS,4.985821682849887e-4,0.054733242473952094,0.47727081536286214,-0.46033595241359027,-1.8193406099948892,59,,Enriched in ΔHC,Reactome Regulation Of Insulin Like Growth Factor Igf Transport And Uptake By Insulin Like Growth Factor Binding Proteins Igfbps,
REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION,6.339114861683526e-4,0.06263045483343323,0.47727081536286214,-0.39905699727572197,-1.7708167440052092,107,,Enriched in ΔHC,Reactome Mhc Class Ii Antigen Presentation,
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS,8.060622706747366e-4,0.07239904758423997,0.47727081536286214,-0.4313388687024425,-1.7839190196773842,73,,Enriched in ΔHC,Reactome Binding And Uptake Of Ligands By Scavenger Receptors,
