pathway,pval,padj,log2err,ES,NES,size,leadingEdge,direction,path_clean,signif
FOURATI_BLOOD_TWINRIX_AGE_25_83YO_RESPONDERS_VS_POOR_RESPONDERS_0DY_UP,1.6093276838066176e-16,3.218655367613235e-14,1.047626488498816,-0.40310683927611446,-2.159395892963901,463,,Enriched in ΔHC,Fourati Blood Twinrix Age 25 83yo Responders Vs Poor Responders 0dy Up,***
GAUCHER_PBMC_YF_VAX_STAMARIL_UNKNOWN_AGE_10DY_UP,1.1520462059402996e-8,1.1520462059402997e-6,0.7477396631498854,0.42165401023684723,2.0517898187474546,195,,Enriched in ΔSX,Gaucher Pbmc Yf Vax Stamaril Unknown Age 10dy Up,***
ERWIN_COHEN_BLOOD_TC_83_AGE_23_48YO_VACCINATED_VS_CONTROL_2DY_UP,7.1813931969743085e-08,3.5906965984871544e-6,0.7049757151672383,0.4754323894195316,2.115460031588997,115,,Enriched in ΔSX,Erwin Cohen Blood Tc 83 Age 23 48yo Vaccinated Vs Control 2dy Up,***
GAUCHER_PBMC_YF_VAX_STAMARIL_UNKNOWN_AGE_7DY_UP,5.689699580503689e-8,3.5906965984871544e-6,0.7195128263389107,0.3710857823388984,1.8702060748198475,289,,Enriched in ΔSX,Gaucher Pbmc Yf Vax Stamaril Unknown Age 7dy Up,***
HOWARD_NEUTROPHIL_INACT_MONOV_INFLUENZA_A_INDONESIA_05_2005_H5N1_AGE_18_49YO_1DY_UP,1.0575200609005116e-6,4.230080243602046e-5,0.6435518361507222,0.3296399154694859,1.7089593745981904,368,,Enriched in ΔSX,Howard Neutrophil Inact Monov Influenza A Indonesia 05 2005 H5n1 Age 18 49yo 1dy Up,***
HOWARD_MONOCYTE_INACT_MONOV_INFLUENZA_A_INDONESIA_05_2005_H5N1_AGE_18_49YO_1DY_UP,2.813052823945054e-6,9.376842746483514e-5,0.6272567397185284,0.37816211228313323,1.8461520080305922,199,,Enriched in ΔSX,Howard Monocyte Inact Monov Influenza A Indonesia 05 2005 H5n1 Age 18 49yo 1dy Up,***
KAZMIN_PBMC_P_FALCIPARUM_RTSS_AS01_AGE_UNKNOWN_CORRELATED_WITH_PROTECTION_56DY_NEGATIVE,3.5490422282785715e-6,1.014012065222449e-4,0.6272567397185284,0.6071648629922053,2.2541860441141233,41,,Enriched in ΔSX,Kazmin Pbmc P Falciparum Rtss As01 Age Unknown Correlated With Protection 56dy Negative,***
ERWIN_COHEN_BLOOD_VACCINE_TC_83_AGE_23_48YO_VACCINATED_VS_CONTROL_7DY_UP,4.5567582555176125e-6,1.1391895638794031e-4,0.610526878385931,0.5125350927485076,2.1011411193485783,72,,Enriched in ΔSX,Erwin Cohen Blood Vaccine Tc 83 Age 23 48yo Vaccinated Vs Control 7dy Up,***
GAUCHER_PBMC_YF_VAX_STAMARIL_UNKNOWN_AGE_3DY_UP,1.1340692310075083e-5,2.520153846683352e-4,0.5933254763964051,0.3548375493901391,1.746340027893264,217,,Enriched in ΔSX,Gaucher Pbmc Yf Vax Stamaril Unknown Age 3dy Up,***
GARCIA_PINERES_PBMC_HPV_16_L1_VLP_AGE_18_25YO_STIMULATED_VS_UNSTIMULATED_0DY_VACCINATION_INDEPENDENT_UP,2.1545539702480546e-5,3.7270352333413395e-4,0.5756102610711286,0.3493284851201626,1.7154900533177846,214,,Enriched in ΔSX,Garcia Pineres Pbmc Hpv 16 L1 Vlp Age 18 25yo Stimulated Vs Unstimulated 0dy Vaccination Independent Up,***
